,season,date,team_h,team_a,h_goals,a_goals,h_xg,a_xg
2660,2021,2021-08-13 19:00:00,Brentford,Arsenal,2,0,1.88818,1.02385
2661,2021,2021-08-14 11:30:00,Manchester United,Leeds,5,1,1.64248,0.568342
2662,2021,2021-08-14 14:00:00,Burnley,Brighton,1,2,1.79548,1.6853
2663,2021,2021-08-14 14:00:00,Chelsea,Crystal Palace,3,0,1.18709,0.321701
2664,2021,2021-08-14 14:00:00,Everton,Southampton,3,1,2.38863,0.580601
2665,2021,2021-08-14 14:00:00,Leicester,Wolverhampton Wanderers,1,0,0.668082,1.32714
2666,2021,2021-08-14 14:00:00,Watford,Aston Villa,3,2,1.35036,1.13718
2667,2021,2021-08-14 16:30:00,Norwich,Liverpool,0,3,1.3333,1.78728
2668,2021,2021-08-15 13:00:00,Newcastle United,West Ham,2,4,1.67926,3.00939
2669,2021,2021-08-15 15:30:00,Tottenham,Manchester City,1,0,1.06014,2.10585
2670,2021,2021-08-21 11:30:00,Liverpool,Burnley,2,0,2.63945,0.690464
2671,2021,2021-08-21 14:00:00,Manchester City,Norwich,5,0,2.43928,0.0250088
2672,2021,2021-08-21 14:00:00,Aston Villa,Newcastle United,2,0,1.18426,0.63163
2673,2021,2021-08-21 14:00:00,Crystal Palace,Brentford,0,0,0.606313,0.712439
2674,2021,2021-08-21 14:00:00,Leeds,Everton,2,2,0.966093,1.85713
2675,2021,2021-08-21 16:30:00,Brighton,Watford,2,0,1.77896,0.407224
2676,2021,2021-08-22 13:00:00,Southampton,Manchester United,1,1,0.587526,2.26173
2677,2021,2021-08-22 13:00:00,Wolverhampton Wanderers,Tottenham,0,1,1.51127,1.72636
2678,2021,2021-08-22 15:30:00,Arsenal,Chelsea,0,2,0.630099,3.64132
2679,2021,2021-08-23 19:00:00,West Ham,Leicester,4,1,2.28613,0.62676
2680,2021,2021-08-28 11:30:00,Manchester City,Arsenal,5,0,4.47273,0.116805
2681,2021,2021-08-28 14:00:00,Newcastle United,Southampton,2,2,1.19077,3.46036
2682,2021,2021-08-28 14:00:00,Norwich,Leicester,1,2,1.44084,1.27371
2683,2021,2021-08-28 14:00:00,Aston Villa,Brentford,1,1,0.431464,1.13312
2684,2021,2021-08-28 14:00:00,Brighton,Everton,0,2,0.701622,1.54868
2685,2021,2021-08-28 14:00:00,West Ham,Crystal Palace,2,2,1.44748,1.67658
2686,2021,2021-08-28 16:30:00,Liverpool,Chelsea,1,1,2.08462,0.573638
2687,2021,2021-08-29 13:00:00,Burnley,Leeds,1,1,1.71102,1.52078
2688,2021,2021-08-29 13:00:00,Tottenham,Watford,1,0,0.920963,0.596016
2689,2021,2021-08-29 15:30:00,Wolverhampton Wanderers,Manchester United,0,1,1.79575,0.944083
2690,2021,2021-09-11 11:30:00,Crystal Palace,Tottenham,3,0,2.89372,0.0775646
2691,2021,2021-09-11 14:00:00,Arsenal,Norwich,1,0,2.68515,0.577292
2692,2021,2021-09-11 14:00:00,Brentford,Brighton,0,1,0.729786,0.287902
2693,2021,2021-09-11 14:00:00,Leicester,Manchester City,0,1,0.8001,2.75058
2694,2021,2021-09-11 14:00:00,Manchester United,Newcastle United,4,1,2.77326,0.622042
2695,2021,2021-09-11 14:00:00,Southampton,West Ham,0,0,0.692135,0.725407
2696,2021,2021-09-11 14:00:00,Watford,Wolverhampton Wanderers,0,2,0.185407,2.55922
2697,2021,2021-09-11 16:30:00,Chelsea,Aston Villa,3,0,1.22153,1.17349
2698,2021,2021-09-12 15:30:00,Leeds,Liverpool,0,3,0.652514,4.4016
2699,2021,2021-09-13 19:00:00,Everton,Burnley,3,1,1.80386,1.82061
2700,2021,2021-09-17 19:00:00,Newcastle United,Leeds,1,1,1.17668,1.42995
2701,2021,2021-09-18 11:30:00,Wolverhampton Wanderers,Brentford,0,2,1.02316,2.32741
2702,2021,2021-09-18 14:00:00,Norwich,Watford,1,3,0.782665,2.42487
2703,2021,2021-09-18 14:00:00,Burnley,Arsenal,0,1,0.775574,1.09928
2704,2021,2021-09-18 14:00:00,Liverpool,Crystal Palace,3,0,2.76793,0.644168
2705,2021,2021-09-18 14:00:00,Manchester City,Southampton,0,0,1.22451,0.490923
2706,2021,2021-09-18 16:30:00,Aston Villa,Everton,3,0,0.777716,0.755035
2707,2021,2021-09-19 13:00:00,Brighton,Leicester,2,1,1.47438,1.25373
2708,2021,2021-09-19 13:00:00,West Ham,Manchester United,1,2,1.6671,1.8954
2709,2021,2021-09-19 15:30:00,Tottenham,Chelsea,0,3,0.70567,2.5869
2710,2021,2021-09-25 11:30:00,Chelsea,Manchester City,0,1,0.194202,1.69244
2711,2021,2021-09-25 11:30:00,Manchester United,Aston Villa,0,1,1.9251,1.57249
2712,2021,2021-09-25 14:00:00,Watford,Newcastle United,1,1,0.904061,2.52338
