iter	Logloss
0	0.680478338711	0.666812919322	0.6582022223	3	0.64769126444	0.6382702705	5	0.6289055728
6	0.6216549394
77	0.611033964488	0.602371351399	0.594527024510	0.5949862779
11	0.5896913427
12	0.5847204987
13	0.5809583495
14	0.5768476407
15	0.5743776581
16	0.5703991771
17	0.5677690675
18	0.5646645811
19	0.5618500117
20	0.5578464756
21	0.5552431366
22	0.5529946322
23	0.5506858149
24	0.5486474122
25	0.5469341391
26	0.5446168798
27	0.5431190807
28	0.5412136732
29	0.5395061335
30	0.5372587125
31	0.534773742
32	0.5327203965
33	0.530581954
34	0.5286677434
35	0.5273649678
36	0.5259935277
37	0.524579336
38	0.5232750255
39	0.5221054258
40	0.5210658869
41	0.519701399
42	0.5186493552
43	0.51706344	0.44	0.51585645	0.45	0.51419946	0.46	0.51339147	0.5114720361
48	0.5104347545
49	0.5082719792
50	0.5067062378
51	0.5053330822
52	0.5040112557
53	0.5031019583
54	0.5022580751
55	0.5007337311
56	0.4997490877
57	0.498147276
58	0.4965670433
59	0.4959134886
60	0.4939555783
61	0.4928567198
62	0.4909831391
63	0.4885016898
64	0.4875518077
65	0.4865072126
66	0.4859594311
67	0.4847800351
68	0.4833285992
69	0.69	0.4877428585
70	0.4868967632
71	0.4857441377
72	0.4854066386
73	0.4845213128
74	0.482977647
75	0.4816977597
76	0.4804171952
77	0.4793451524
78	0.478282003
79	0.4774136515
80	0.4754613391
81	0.474201541
82	0.4726687098
83	0.4712604771
84	0.4705823187
85	0.4699791451
86	0.4684155707
87	0.4673381106
88	0.4661331628
89	0.4644942876
90	0.4627763195
91	0.4624917296
92	0.4615483933
93	0.460495898
94	0.4598245564
95	0.4583434156
96	0.4578181611
97	0.4569420448
98	0.4559581237
99	0.4550579003
100	0.4546300222
101	0.4533416026
102	0.4526924269
103	0.4514018403
104	0.4503787791
105	0.4490230493
106	0.4480704133
107	0.4463805249
108	0.445640248
109	0.4450112969
110	0.4437675702
111	0.4434606789
112	0.442643792
113	0.4410379624
114	0.4401078083
115	0.4392274033
116	0.4377116367
117	0.4361370922
118	0.4354751858
119	0.4346386159
120	0.4334611611
121	0.4321422238
122	0.4311666094
123	0.4305418568
124	0.4298769257
125	0.4291829668
126	0.4282307822
127	0.427755638
128	0.4264367911
129	0.4258912668
130	0.4248693342
131	0.4229820748
132	0.4225863846
133	0.4215998001
134	0.4210521991
135	0.4198957364
136	0.418515764
137	0.4176684498
138	0.4174491386
139	0.4162476669
140	0.4157835379
141	0.4145195865
142	0.4133282724
143	0.4125842032
144	0.411800994
145	0.410827095
146	0.4101262742
147	0.4086552456
148	0.4083335922
149	0.4076231104
150	0.4068930361
151	0.4061595307
152	0.405110015
153	0.4042743028
154	0.403461208
155	0.4023313804
156	0.4011267036
157	0.4001478838
158	0.399776075
159	0.3984693719
160	0.3972570656
161	0.3970061534
162	0.3959758691
163	0.3954744057
164	0.394284491
165	0.3937488082
