Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTResult,GF3Home,GA3Home,GF5Home,GA5Home,GF3Away,GA3Away,GF5Away,GA5Away,h_xg,a_xg,league,xG_diff,xg_margin,xg_ratio,rolling_xg_home_5,rolling_xg_away_5
F1,2014-08-09,Nantes,Lens,1562.52,1495.52,2.0,6.0,6.0,8.0,H,2.0,4.0,9.0,7.0,8.0,2.0,9.0,3.0,1.025,0.167128,FRA-Ligue 1,0.857872,0.857872,6.132987093801793,1.025,0.167128
F1,2014-08-09,Montpellier,Bordeaux,1578.93,1614.53,0.0,4.0,5.0,8.0,A,0.0,8.0,6.0,13.0,3.0,2.0,9.0,5.0,1.01756,0.750184,FRA-Ligue 1,0.26737600000000006,0.26737600000000006,1.3564120850190287,1.01756,0.750184
F1,2014-08-09,Lille,Metz,1725.01,1522.3,4.0,8.0,7.0,11.0,D,6.0,5.0,8.0,6.0,4.0,0.0,8.0,1.0,1.54468,0.0571371,FRA-Ligue 1,1.4875429,1.4875429,27.03415059303687,1.54468,0.0571371
F1,2014-08-09,Evian Thonon Gaillard,Caen,1574.11,1528.42,6.0,6.0,2.0,8.0,A,5.0,1.0,6.0,4.0,4.0,6.0,11.0,7.0,0.813737,1.23869,FRA-Ligue 1,-0.424953,0.424953,0.6569330042762884,0.813737,1.23869
F1,2014-08-09,Nice,Toulouse,1550.23,1583.32,0.0,3.0,4.0,5.0,H,0.0,5.0,1.0,6.0,4.0,4.0,5.0,6.0,2.21481,1.56361,FRA-Ligue 1,0.6512,0.6512,1.416471232294989,2.21481,1.56361
F1,2014-08-10,Lyon,Rennes,1702.63,1585.25,3.0,7.0,6.0,8.0,H,3.0,5.0,7.0,6.0,6.0,4.0,7.0,5.0,2.064,0.375946,FRA-Ligue 1,1.6880540000000002,1.6880540000000002,5.490135577621314,2.064,0.375946
F1,2014-08-10,Monaco,Lorient,1708.18,1588.93,5.0,11.0,6.0,8.0,A,4.0,3.0,9.0,4.0,3.0,4.0,8.0,9.0,2.09333,1.6254,FRA-Ligue 1,0.46792999999999996,0.46792999999999996,1.287885266466552,2.09333,1.6254
F1,2014-08-15,Caen,Lille,1547.24,1717.46,5.0,8.0,4.0,8.0,A,6.0,3.0,8.0,6.0,5.0,4.0,8.0,6.0,0.273799,0.945961,FRA-Ligue 1,-0.672162,0.672162,0.2894397449369002,0.273799,0.945961
E0,2014-08-16,West Ham,Tottenham,1663.89,1800.83,3.0,3.0,6.0,10.0,A,2.0,3.0,3.0,7.0,4.0,2.0,10.0,6.0,1.8531,1.01706,ENG-Premier League,0.8360399999999999,0.8360399999999999,1.8220146087599465,1.8531,1.01706
E0,2014-08-16,West Bromwich Albion,Sunderland,1634.61,1647.63,0.0,3.0,6.0,12.0,D,1.0,5.0,3.0,8.0,4.0,3.0,10.0,4.0,1.68343,0.991901,ENG-Premier League,0.691529,0.691529,1.6971737127256523,1.68343,0.991901
E0,2014-08-16,Manchester United,Swansea,1858.6,1672.92,4.0,7.0,6.0,9.0,A,4.0,3.0,8.0,5.0,7.0,3.0,9.0,5.0,1.16635,0.278076,ENG-Premier League,0.888274,0.888274,4.194341854953844,1.16635,0.278076
E0,2014-08-16,Leicester,Everton,1639.41,1828.43,9.0,13.0,3.0,6.0,D,4.0,0.0,6.0,1.0,4.0,5.0,8.0,8.0,1.2783,0.613273,ENG-Premier League,0.665027,0.665027,2.0843864243388763,1.2783,0.613273
E0,2014-08-16,Arsenal,Crystal Palace,1865.24,1627.0,9.0,15.0,2.0,8.0,H,6.0,0.0,12.0,1.0,5.0,7.0,9.0,9.0,1.55411,0.158151,ENG-Premier League,1.3959590000000002,1.3959590000000002,9.82668572006677,1.55411,0.158151
F1,2014-08-16,Toulouse,Lyon,1575.77,1707.11,3.0,4.0,6.0,9.0,H,5.0,6.0,7.0,9.0,3.0,1.0,9.0,6.0,1.43956,1.28964,FRA-Ligue 1,0.14992000000000005,0.14992000000000005,1.1162486304328105,1.43956,1.28964
F1,2014-08-16,Rennes,Evian Thonon Gaillard,1579.42,1554.44,3.0,7.0,6.0,6.0,H,4.0,5.0,7.0,7.0,5.0,3.0,6.0,6.0,1.81988,1.06246,FRA-Ligue 1,0.75742,0.75742,1.712891108473629,1.81988,1.06246
F1,2014-08-16,Metz,Nantes,1528.43,1566.93,5.0,9.0,4.0,6.0,D,3.0,0.0,5.0,1.0,2.0,3.0,4.0,5.0,1.21778,0.623268,FRA-Ligue 1,0.594512,0.594512,1.9538594090192196,1.21778,0.623268
F1,2014-08-16,Lorient,Nice,1601.11,1556.93,6.0,10.0,3.0,6.0,D,4.0,5.0,6.0,6.0,3.0,5.0,4.0,7.0,1.03357,0.326763,FRA-Ligue 1,0.7068070000000001,0.7068070000000001,3.1630473369159398,1.03357,0.326763
F1,2014-08-16,Lens,Guingamp,1490.27,1529.2,3.0,7.0,3.0,7.0,A,2.0,2.0,8.0,3.0,2.0,3.0,4.0,4.0,0.908766,1.00409,FRA-Ligue 1,-0.09532399999999996,0.09532399999999996,0.9050633856891458,0.908766,1.00409
E0,2014-08-17,Liverpool,Southampton,1899.8,1718.77,4.0,10.0,7.0,8.0,H,5.0,6.0,11.0,10.0,4.0,1.0,4.0,2.0,1.33192,1.55248,ENG-Premier League,-0.2205600000000001,0.2205600000000001,0.8579299843283106,1.33192,1.55248
F1,2014-08-17,Marseille,Montpellier,1655.03,1569.58,5.0,9.0,0.0,3.0,A,5.0,4.0,10.0,7.0,0.0,7.0,2.0,10.0,1.10223,1.55953,FRA-Ligue 1,-0.45730000000000004,0.45730000000000004,0.7067701764184232,1.10223,1.55953
F1,2014-08-17,Bordeaux,Monaco,1623.04,1695.17,5.0,8.0,4.0,8.0,H,3.0,2.0,5.0,4.0,4.0,4.0,9.0,6.0,3.76512,0.575148,FRA-Ligue 1,3.189972,3.189972,6.546338427085851,3.76512,0.575148
E0,2014-08-18,Burnley,Chelsea,1613.48,1918.65,7.0,10.0,7.0,10.0,A,5.0,2.0,6.0,3.0,4.0,1.0,6.0,3.0,0.371141,2.12996,ENG-Premier League,-1.7588190000000001,1.7588190000000001,0.17424779139148555,0.371141,2.12996
D1,2014-08-22,Bayern Munich,Wolfsburg,2030.0,1758.65,9.0,12.0,7.0,13.0,H,10.0,3.0,12.0,6.0,7.0,4.0,14.0,6.0,2.57012,1.19842,GER-Bundesliga,1.3717000000000001,1.3717000000000001,2.1445885878168025,2.57012,1.19842
F1,2014-08-23,Guingamp,Marseille,1529.2,1655.03,3.0,7.0,4.0,8.0,A,1.0,3.0,4.0,4.0,4.0,5.0,9.0,8.0,0.452052,0.708459,FRA-Ligue 1,-0.25640699999999994,0.25640699999999994,0.6380769556502838,0.452052,0.708459
F1,2014-08-23,Lille,Lorient,1717.46,1601.11,7.0,8.0,4.0,10.0,H,5.0,1.0,7.0,5.0,3.0,5.0,5.0,5.0,0.782421,0.335937,FRA-Ligue 1,0.44648400000000005,0.44648400000000005,2.3290636962772897,1.1635505,0.9806684999999999
F1,2014-08-23,Montpellier,Metz,1569.58,1528.43,3.0,3.0,3.0,9.0,H,2.0,5.0,2.0,9.0,1.0,1.0,5.0,1.0,1.59321,1.5187,FRA-Ligue 1,0.07451000000000008,0.07451000000000008,1.049061006741946,1.305385,0.78791855
F1,2014-08-23,Nice,Bordeaux,1556.93,1623.04,4.0,4.0,7.0,11.0,A,3.0,3.0,3.0,7.0,6.0,2.0,8.0,3.0,0.830133,1.39097,FRA-Ligue 1,-0.560837,0.560837,0.5968010835596141,1.5224715,1.0705770000000001
F1,2014-08-23,Reims,Caen,1549.84,1547.24,1.0,4.0,4.0,5.0,A,4.0,8.0,6.0,10.0,5.0,3.0,7.0,7.0,1.8721,1.80265,FRA-Ligue 1,0.06945000000000001,0.06945000000000001,1.0385260374859027,1.8721,1.52067
SP1,2014-08-23,Sevilla,Valencia,1845.38,1803.59,4.0,7.0,4.0,5.0,D,3.0,2.0,8.0,5.0,4.0,5.0,5.0,7.0,1.17197,1.74903,ESP-La Liga,-0.5770600000000001,0.5770600000000001,0.6700681691748174,1.17197,1.74903
D1,2014-08-23,Hoffenheim,Augsburg,1681.27,1694.8,4.0,7.0,9.0,10.0,H,5.0,4.0,8.0,7.0,6.0,2.0,6.0,4.0,1.52873,0.280777,GER-Bundesliga,1.2479529999999999,1.2479529999999999,5.444621729622692,1.52873,0.280777
E0,2014-08-23,Aston Villa,Newcastle United,1618.12,1650.72,3.0,6.0,3.0,3.0,D,1.0,7.0,5.0,12.0,4.0,4.0,5.0,9.0,0.507525,0.699295,ENG-Premier League,-0.19177,0.19177,0.7257656271450144,0.507525,0.699295
E0,2014-08-23,Chelsea,Leicester,1918.65,1639.41,7.0,10.0,7.0,13.0,H,5.0,2.0,8.0,4.0,5.0,2.0,7.0,2.0,2.02939,0.550894,ENG-Premier League,1.4784959999999998,1.4784959999999998,3.6838054438686134,2.02939,0.550894
E0,2014-08-23,Crystal Palace,West Ham,1627.0,1663.89,2.0,5.0,3.0,3.0,A,6.0,7.0,7.0,9.0,2.0,3.0,2.0,5.0,0.617283,1.33957,ENG-Premier League,-0.7222869999999999,0.7222869999999999,0.4608064820752316,0.617283,1.33957
E0,2014-08-23,Everton,Arsenal,1828.43,1865.24,4.0,7.0,9.0,15.0,D,6.0,5.0,8.0,7.0,5.0,1.0,11.0,1.0,1.33429,1.43355,ENG-Premier League,-0.09926000000000013,0.09926000000000013,0.9307586545578078,1.33429,1.43355
E0,2014-08-23,Southampton,West Bromwich Albion,1718.77,1634.61,4.0,8.0,1.0,4.0,D,3.0,3.0,5.0,3.0,3.0,6.0,4.0,7.0,0.665853,0.665791,ENG-Premier League,6.20000000000065e-05,6.20000000000065e-05,1.00009162020571,0.665853,0.665791
E0,2014-08-23,Swansea,Burnley,1672.92,1613.48,6.0,12.0,4.0,10.0,H,5.0,3.0,11.0,5.0,4.0,5.0,7.0,5.0,0.914215,0.843331,ENG-Premier League,0.07088399999999995,0.07088399999999995,1.0840511210294403,0.914215,0.843331
SP1,2014-08-24,Barcelona,Elche,2024.84,1682.16,3.0,9.0,4.0,5.0,H,3.0,3.0,8.0,6.0,2.0,3.0,3.0,6.0,1.54124,0.10804,ESP-La Liga,1.4332,1.4332,14.265325200618284,1.54124,0.10804
